2016-08-03 15:22:10 status unpacked libc-bin:arm64 2.19-0ubuntu6
2016-08-03 15:22:10 status unpacked libc-bin:arm64 2.19-0ubuntu6
2016-08-03 15:22:10 upgrade libc6:arm64 2.19-0ubuntu6 2.19-0ubuntu6
2016-08-03 15:22:10 status half-configured libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:10 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:10 status half-installed libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:11 status half-installed libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:11 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:11 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:11 install libcap2:arm64 <none> 1:2.24-0ubuntu2
2016-08-03 15:22:11 status half-installed libcap2:arm64 1:2.24-0ubuntu2
2016-08-03 15:22:11 status unpacked libcap2:arm64 1:2.24-0ubuntu2
2016-08-03 15:22:11 status unpacked libcap2:arm64 1:2.24-0ubuntu2
2016-08-03 15:22:11 install libcgmanager0:arm64 <none> 0.24-0ubuntu5
2016-08-03 15:22:11 status half-installed libcgmanager0:arm64 0.24-0ubuntu5
2016-08-03 15:22:11 status unpacked libcgmanager0:arm64 0.24-0ubuntu5
2016-08-03 15:22:11 status unpacked libcgmanager0:arm64 0.24-0ubuntu5
2016-08-03 15:22:11 install libcomerr2:arm64 <none> 1.42.9-3ubuntu1
2016-08-03 15:22:11 status half-installed libcomerr2:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:11 status unpacked libcomerr2:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:11 status unpacked libcomerr2:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:11 install libdb5.3:arm64 <none> 5.3.28-3ubuntu3
2016-08-03 15:22:11 status half-installed libdb5.3:arm64 5.3.28-3ubuntu3
2016-08-03 15:22:11 status unpacked libdb5.3:arm64 5.3.28-3ubuntu3
2016-08-03 15:22:11 status unpacked libdb5.3:arm64 5.3.28-3ubuntu3
2016-08-03 15:22:11 install libdbus-1-3:arm64 <none> 1.6.18-0ubuntu4
2016-08-03 15:22:11 status half-installed libdbus-1-3:arm64 1.6.18-0ubuntu4
2016-08-03 15:22:11 status unpacked libdbus-1-3:arm64 1.6.18-0ubuntu4
2016-08-03 15:22:11 status unpacked libdbus-1-3:arm64 1.6.18-0ubuntu4
2016-08-03 15:22:11 install libdebconfclient0:arm64 <none> 0.187ubuntu1
2016-08-03 15:22:11 status half-installed libdebconfclient0:arm64 0.187ubuntu1
2016-08-03 15:22:11 status unpacked libdebconfclient0:arm64 0.187ubuntu1
2016-08-03 15:22:11 status unpacked libdebconfclient0:arm64 0.187ubuntu1
2016-08-03 15:22:11 install libdrm2:arm64 <none> 2.4.52-1
2016-08-03 15:22:11 status half-installed libdrm2:arm64 2.4.52-1
2016-08-03 15:22:11 status unpacked libdrm2:arm64 2.4.52-1
2016-08-03 15:22:11 status unpacked libdrm2:arm64 2.4.52-1
2016-08-03 15:22:11 install libgcc1:arm64 <none> 1:4.9-20140406-0ubuntu1
2016-08-03 15:22:11 status half-installed libgcc1:arm64 1:4.9-20140406-0ubuntu1
2016-08-03 15:22:11 status unpacked libgcc1:arm64 1:4.9-20140406-0ubuntu1
2016-08-03 15:22:11 status unpacked libgcc1:arm64 1:4.9-20140406-0ubuntu1
2016-08-03 15:22:11 install libjson-c2:arm64 <none> 0.11-3ubuntu1
2016-08-03 15:22:11 status half-installed libjson-c2:arm64 0.11-3ubuntu1
2016-08-03 15:22:11 status unpacked libjson-c2:arm64 0.11-3ubuntu1
2016-08-03 15:22:11 status unpacked libjson-c2:arm64 0.11-3ubuntu1
2016-08-03 15:22:11 install libjson0:arm64 <none> 0.11-3ubuntu1
2016-08-03 15:22:11 status half-installed libjson0:arm64 0.11-3ubuntu1
2016-08-03 15:22:11 status unpacked libjson0:arm64 0.11-3ubuntu1
2016-08-03 15:22:11 status unpacked libjson0:arm64 0.11-3ubuntu1
2016-08-03 15:22:11 install libklibc:arm64 <none> 2.0.3-0ubuntu1
2016-08-03 15:22:11 status half-installed libklibc:arm64 2.0.3-0ubuntu1
2016-08-03 15:22:11 status unpacked libklibc:arm64 2.0.3-0ubuntu1
2016-08-03 15:22:11 status unpacked libklibc:arm64 2.0.3-0ubuntu1
